order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD014143,ID0267315670,2019-08-13,Nickolson,"[('Toshika 750', 2), ('iAssist Line', 2), ('pearTV', 2)]",25710,75.23,-37.823454,144.9761762,10,23214.23,Winter,True,0.795,five stars so far i'm very satisfied with my olivia universe note 5.,True
ORD353742,ID4551628270,2019-10-02,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360,85.06,-37.8076649,144.94788269999995,0,20445.06,Spring,True,0.5621,"i was a sucker. the phone was good for maybe the first week, after the warranty had expired of course the phone went down hill. it's slow, freezes, and the camera doesn't work sometimes unless i restart the phone. it also doesn't charge unless you hold it in a certain position. i wish i could get my money back for this awful phone.",False
ORD146778,ID5680172487,2019-01-23,Thompson,"[('Olivia x460', 1), ('Alcon 10', 2), ('iStream', 2)]",19425,76.88,-37.808919,144.9728584,25,14645.63,Summer,False,1.1157,this tablet is simple to set up and it's worth the price. it's perfect for beginners.,True
ORD469433,ID0248746951,2019-09-04,Bakers,"[('Thunder line', 2), ('iAssist Line', 2), ('pearTV', 2)]",21430,80.02,-37.8217934,144.99075430000005,5,20438.52,Spring,False,1.371,"awesome phone we pre ordered.. it felt like forever waiting.. we revived the phones quickly after they were released within a couple days.. they come with all the stuff , charger , ear buds etc.. they do come charged woot awesome phone",True
ORD134238,ID0529158815,2019-11-17,Thompson,"[('Lucent 330S', 1), ('Toshika 750', 1), ('Thunder line', 1)]",7730,106.2,-37.8238221,144.94050719999996,15,6676.7,summer,True,1.3686,very happy great performance and amazing battery life. i prefer vanilla android and had been in the nexus/pixel line whenever i can. no complaints so far and very happy with all the performance of the phone.,True
ORD249564,ID4518640804,2019-02-18,Thompson,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Universe Note', 1)]",10360,92.64,-37.8074198,144.94228859999996,25,7862.64,Summer,True,0.7202,"cute and quirky little phone. manual doesn't tell you ... cute and quirky little phone. manual doesn't tell you everything, you need to blog. do not turn on voice command, it is a nightmare to turn off. battery doesn't last too long, but for digico's price, this phone is tops.",True
ORD058543,ID0248746953,2019-04-07,Bakers,"[('iStream', 1), ('iAssist Line', 1)]",2375,80.94,-37.8204958,144.9916339,5,2337.19,Autumn,True,1.2109,great lovely,True
ORD059550,ID0128977294,2019-11-02,Nickolson,"[('iAssist Line', 1), ('pearTV', 1)]",8535,100.84,-37.8170679,144.96366,10,7782.34,Spring,True,0.5452,good price good price and it works well.,True
ORD036121,ID0250480669,2019-01-24,Bakers,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Olivia x460', 1), ('Thunder line', 1)]",10315,76.61,-37.8107328,145.00233630000002,0,10391.61,Summer,True,0.6301,"money back sigo esperando mi reembolso, no se pudo activar el teléfono con la compañía metro pcs",False
ORD034428,ID4315827374,2019-08-18,Bakers,"[('Alcon 10', 1), ('iStream', 2), ('Thunder line', 2), ('Universe Note', 1)]",17060,79.22,-37.8197631,144.9989418,0,17139.22,Winter,True,1.1351,i love my phone i should have done this so long ago! i cannot believe i was going to pay 500 more to get this phone thru my carrier. it works perfectly and was able to put in my old sim card from my s8 with no problems!,True
ORD147833,ID5402876152,2019-04-05,Nickolson,"[('pearTV', 2), ('Toshika 750', 1)]",16940,63.5,-37.8193968,144.9771635,25,12768.5,Autumn,False,1.2058,can't beat the quality and performance of this tablet for $60. i bought it to be my main link with my digico gold. but used it last week instead to download direct tv app so i could use it to watch the fbs championship game. it worked great but it couldn't help my bama team win.,True
ORD323232,ID4716795768,2019-11-22,Thompson,"[('Toshika 750', 2), ('Lucent 330S', 1), ('pearTV', 2), ('Candle Inferno', 1)]",22920,103.62,144.9534822,-37.8187697,0,23023.62,Spring,True,0.8824,very slim and look gorgeous love this phone,True
ORD358530,ID0663120915,02-08-2019,Thompson,"[('Toshika 750', 1), ('iAssist Line', 2)]",8770,70.58,-37.8002297,144.9550618,0,8840.58,Winter,False,1.5533,None,True
ORD223070,ID0775945877,2019-08-19,Thompson,"[('pearTV', 1), ('Thunder line', 2), ('Alcon 10', 1), ('iStream', 1)]",19770,79.82,-37.8061341,144.95940249999995,15,16884.32,Winter,True,1.3063,great value worth it. haven’t had an issue yet,True
ORD026039,ID2190560998,2019-25-03,Nickolson,"[('Toshika 750', 1), ('iAssist Line', 2), ('Lucent 330S', 2), ('pearTV', 2)]",23850,65.55,-37.8142003,144.96317,15,20338.05,Autumn,False,0.7444,very clear. great phone.,True
ORD310329,ID0052450483,2019-12-22,Thompson,"[('Olivia x460', 1), ('iAssist Line', 2), ('Thunder line', 1)]",7855,110.28,-37.7914845,144.9367602,5,7572.53,summer,True,2.5269,"good value for money beautiful, functional, good display, good cuality materials, fast, good screen. not the best, but good and reliable battery life (more than 12-14hours with normal average use)",True
ORD390945,ID4520380541,2019-03-04,Nickolson,"[('pearTV', 2), ('iStream', 2), ('Candle Inferno', 1), ('Toshika 750', 2)]",21990,80.21,-37.817658,144.9591695,0,22070.21,Autumn,True,0.9188,"easy to set up worked great as a replacement for my mom's phone, quick and easy to set up with out having to go to verizon.",False
ORD229947,ID2365009329,2019-10-13,Thompson,"[('pearTV', 1), ('Lucent 330S', 2), ('Toshika 750', 2), ('Universe Note', 1)]",20860,103.65,-37.8028382,144.9481035,25,15748.65,Spring,True,1.0986,"excellent phone for the price cheap, very nice camera and battery life, good sound too. highly recommended",True
ORD118029,ID2318307717,2019-02-21,Nickolson,"[('pearTV', 1), ('Candle Inferno', 2), ('Lucent 330S', 1)]",9350,96.16,-37.8109307,144.9767106,25,7108.66,Summer,True,1.0603,flawless so far the phone has been flawless. i use it on straight talk cdma.,True
