order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD190856,ID1838361782,2019-05-23,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 2)]",13400.0,62.59,-37.8164706,144.966998,25,10112.59,Autumn,False,0.3261,"i received the thunder as a gift. i needed another bluetooth or something to play music easily accessible, and found this smart speaker. can’t wait to see what else it can do.",1.0
ORD147808,ID0257503162,2019-11-05,Thompson,"[('iStream', 1), ('Universe Note', 2), ('Toshika 750', 2)]",15690.0,84.84,-37.7999918,144.9615824,25,11852.34,Spring,False,1.9032,"i've had this tablet for a few months now and i like it. the picture is excellent, the sound from the speakers is more than sufficient and the wifi is quick.",1.0
ORD131653,ID0589426084,2019-02-01,Nickolson,"[('iStream', 1), ('Candle Inferno', 2), ('Olivia x460', 1)]",2235.0,75.34,-37.8094689,144.9726522,5,2198.59,Summer,False,1.0519,great product exactly as it was described,1.0
ORD080366,ID0207085804,2019-12-23,Bakers,"[('Candle Inferno', 1), ('Alcon 10', 2)]",,102.1,-37.8104815,145.015893,15,,Summer,True,1.8178,hey... i love the phone..,1.0
ORD394377,ID0589306701,2019-02-14,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 1), ('pearTV', 2), ('Lucent 330S', 2)]",24150.0,58.08,-37.8124985,144.97290880000003,15,20585.58,Summer,False,0.7401,two stars this phone came messed up. to many things to mention.,0.0
ORD441843,ID0060095426,2019-10-10,,"[('iStream', 2), ('Olivia x460', 2), ('Universe Note', 1)]",6200.0,84.16,-37.8246592,144.98870730000004,0,6284.16,Spring,False,,gs4 this phone is perfect for me! i haven't had a problem with it at all. it holds all of my data and information with no problems,1.0
ORD070472,ID3191033052,2019-04-23,Nickolson,"[('Lucent 330S', 2), ('Olivia x460', 2)]",4910.0,65.59,-37.8115222,144.9721881,5,4730.09,Autumn,False,0.8208,five stars i love note 5,1.0
ORD324436,ID0781149924,2019-07-16,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 1), ('Toshika 750', 1)]",14500.0,52.79,-37.8022725,144.9430262,5,13827.79,Winter,False,1.2111,"two stars bought one, didn't last 6 months! hopefully someone contacts me.",0.0
ORD258516,ID1838361782,2019-05-15,Nickolson,"[('Thunder line', 1), ('Lucent 330S', 2)]",4640.0,61.56,-37.8164706,144.966998,10,4237.56,Autumn,True,0.3261,"poor sound quality bought this phone for my daughter to be able to keep in touch when she's out, but we had real problems with sound quality to the point where it was difficult to understand what she was saying. unfortunately we've had to pack it away ... not sure what we'll do with it as i'm not sure what the problem is.",
ORD285339,ID5001030293,2019-12-22,,"[('iAssist Line', 1), ('Thunder line', 2), ('pearTV', 2), ('Lucent 330S', 2)]",21665.0,74.88,-37.8110908,144.9524931,0,21739.88,Summer,True,0.5085,does not work! didn't work from the get go. asked for refund and there was so many hoops to jump through that i got lost and time expired.,0.0
ORD318583,ID6167417925,2019-01-08,Thompson,"[('iAssist Line', 1), ('Universe Note', 2)]",9125.0,74.96,-37.8156619,144.9578061,25,6918.71,Summer,False,1.0011,it works! i was honestly super skeptical about ordering this phone but i'm really glad i did. it looks and acts brand new!!,1.0
ORD334876,ID2717237175,2019-01-20,,"[('iAssist Line', 2), ('Alcon 10', 2), ('Candle Inferno', 2)]",23210.0,71.25,-37.7989278,144.96927119999995,10,20960.25,Summer,False,,"worst phone i ever bought. plenty of problems with it. it's slow - low memory, old processor text messages often won't download. visual voicemail stopped working. the phone looks great, but after 6 months i'm already looking for a new one.",0.0
ORD465595,ID0582563607,2019-04-15,,"[('Candle Inferno', 1), ('iAssist Line', 1), ('Thunder line', 2)]",7015.0,65.54,-37.8218974,144.9777275,15,6028.29,Autumn,False,,"good deal so far, this tablet has done all i need it to do. battery life seems very good. appearance was excellent. it was purchased for work applications and has performed well. if anything changes, i'll update my review.",1.0
ORD189560,ID0778812528,2019-12-08,Thompson,"[('Lucent 330S', 2), ('Thunder line', 1)]",4640.0,63.65,-37.79977020000001,144.9577335,10,4239.65,Summer,False,1.7155,"awkward experience the phone is ok, but the seller is not responsive at all.",0.0
ORD231280,ID0370241971,2019-03-09,,"[('Thunder line', 2), ('Alcon 10', 1)]",13310.0,71.6,-37.7991696,144.9712828,25,10054.1,Autumn,False,2.1677,"refurbished but near perfect condition. was nervous ordering refurbished but i cannot see any evidence it was ever touched. battery shows 100% capacity, no scratches or marks anywhere and fully unlocked, tried sprint, att, and cricket sim and all register and operate without issue.",1.0
ORD379669,ID0302822641,2019-03-29,Bakers,"[('pearTV', 2), ('Universe Note', 2)]",19520.0,66.44,-37.8155634,144.9930676,10,17634.44,Autumn,False,0.6483,"recommended bought this device as a gift. i must say i'm very impressed by screen quality, speaker and camera fairly good. for the price i'd say this is a nice deal.",1.0
ORD313167,ID0746924352,2019-02-03,Nickolson,"[('Olivia x460', 1), ('Lucent 330S', 2)]",3685.0,82.42,-37.8239685,144.9827317,10,3398.92,Summer,True,1.3043,i would not purchase this item again as there is no 4k content.,0.0
ORD227805,ID6167344577,2019-01-06,Nickolson,"[('Toshika 750', 2), ('pearTV', 2)]",21260.0,69.93,-37.8159106,144.973171,15,18140.93,Summer,False,0.4366,"mines looked new & worked amazing very impressed, i got mine for $434 , tax included... from a lg style to a note 9🤩",1.0
