order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD203192,ID0591398356,2019-02-26,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 2), ('Alcon 10', 1)]",15730,57.86,-37.821418,144.9614566,15,13428.36,Summer,False,0.7781,"bait and switch i bought a new droid, but recieved a used one",False
ORD100528,ID0123087089,2019-09-09,Thompson,"[('iAssist Line', 2), ('pearTV', 2), ('Lucent 330S', 2)]",19530,74.09,-37.814831700000006,144.9554309,25,14721.59,Spring,False,0.7736,five stars several years old and still performing like it did the day we got it!,True
ORD479784,ID1985557931,2019-09-22,Nickolson,"[('Lucent 330S', 1), ('pearTV', 2), ('Toshika 750', 1), ('Olivia x460', 2)]",20620,76.67,-37.8137458,144.9686324,0,20696.67,Spring,False,0.5458,awesome phone!!! great phone! much better battery compared to alcon.,True
ORD228107,ID0317536476,2019-02-24,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 2), ('Universe Note', 1)]",5535,81.25,-37.8047395,144.9652608,15,4786.0,Summer,False,1.5878,"amazing android one phone monthly updates are awesome, good phone per value.",True
ORD240863,ID1479897546,2019-10-14,Nickolson,"[('Olivia x460', 2), ('Candle Inferno', 2)]",3310,79.62,-37.8200704,144.9583427,25,2562.12,Spring,False,0.9992,love the thunder plus!! much better versatility than the first generation thunder. intercom and voice-controllable smart bulbs are awesome!,True
ORD359507,ID2810279742,2019-05-30,Bakers,"[('iAssist Line', 2), ('Universe Note', 2)]",11350,80.96,-37.8168862,144.988144,15,9728.46,Autumn,True,0.9883,"they seem to be a company with integrity. i like how well this company stands behind their products. unfortunately, i am a first time smart phone user so by the time i figured out that the battery life was bad, it was too late to return it.",True
ORD143793,ID0332544813,2019-10-23,Thompson,"[('pearTV', 2), ('Alcon 10', 2)]",30520,106.8,-37.8000373,144.9440091,10,27574.8,Spring,True,1.4321,still learning to use these things.  they sure are smart!  haha  she started reading a book to me yesterday.  get one.  i like the way it controls the brightness all by itself when lights are turned off at night.,True
ORD370025,ID0113402795,2019-10-09,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 1), ('iStream', 1)]",18480,78.75,-37.8025657,145.00503740000005,15,15786.75,Spring,False,1.1949,"nice phone phone came nicely packaged with a charger and screen protector. it was unlocked and so far so good. no issues with it. my son loves it, minus the fact he did not know he picked out the rose gold (looks pink) but nothing a case can't cover, lol",True
ORD134943,ID3144992704,2019-01-24,Bakers,"[('iStream', 1), ('Thunder line', 2), ('iAssist Line', 2), ('Alcon 10', 1)]",17910,75.67,-37.81507070000001,144.9889123,0,17985.67,Summer,True,0.7925,"terrible refurbished phone this phone arrived with dents that looked it was dropped a couple times, the screen had a couple of dead pixels, the home button was all scratched up and the back plate was basically coming off, you could see the internals. sent back in for refund, horrible job on the refurbished. wouldn't recommend.",False
ORD476281,ID2705192016,2019-06-25,Nickolson,"[('Thunder line', 1), ('pearTV', 2)]",14800,49.46,-37.8214129,144.9693727,0,14849.46,Winter,False,0.3141,"one star it's not att phone, unable to have it turned on",False
ORD453335,ID5002594974,2019-01-20,Thompson,"[('Thunder line', 1), ('Olivia x460', 2), ('Alcon 10', 1), ('pearTV', 2)]",26200,87.41,-37.812445200000006,144.95179950000005,25,19737.41,Summer,True,0.4168,"great phone love it, camera is great.",True
ORD179425,ID0168377580,2019-02-02,Nickolson,"[('Universe Note', 1), ('pearTV', 2)]",16070,96.09,-37.8117055,144.9603483,0,16166.09,Summer,True,1.1149,excellent buy love it! the price was great on gold day! about 500$ cheaper than at the at&t store!,True
ORD291744,ID2702095691,2019-02-19,Bakers,"[('Alcon 10', 2), ('Lucent 330S', 2), ('iAssist Line', 1)]",22585,74.52,-37.8104554,144.99050480000002,25,17013.27,Summer,True,0.4189,dont purchase. hasnt made it 4 months and already wont work. after 4 months the sim card wont read in the phone. tried another one and the same issue. the only thing i can think it the sim card reader in the phone is bad. so after 4 months im sol.,False
ORD480713,ID2174963236,2019-04-16,Thompson,"[('Toshika 750', 1), ('iStream', 2)]",4620,79.47,-37.8192164,144.9542006,0,4699.47,Autumn,True,0.9612,"practical, economical, and best features! love this phone. my 3rd lucentrola phone and each model gets better. purchas price lowest on digico in december when purchased. we bought 2, one for me and one for hubby. best on features and durability for the price. thank you lucentrola!",True
ORD203298,ID0248746929,2019-06-24,Bakers,"[('Lucent 330S', 1), ('pearTV', 2), ('Alcon 10', 2)]",31750,34.76,-37.82366270000001,144.9971191,15,27057.02,Winter,False,1.5304,five stars love the phone it was flawless,True
ORD392838,ID0547568785,2019-06-16,Bakers,"[('Olivia x460', 2), ('iAssist Line', 2), ('Thunder line', 2), ('Alcon 10', 2)]",29160,60.67,-37.8127465,144.9884014,15,24846.67,Winter,True,0.6742,not unlocked this phone is not unlocked. beware it is useless.,False
ORD339901,ID0266739912,2019-12-02,Bakers,"[('Lucent 330S', 1), ('Alcon 10', 1), ('Toshika 750', 2), ('iAssist Line', 2)]",23270,80.17,-37.8243677,144.9924436,25,17532.67,Summer,False,1.6185,one of the best purchases or investments you could make for technology.,True
ORD190030,ID0702354384,2019-07-07,Thompson,"[('Toshika 750', 1), ('iAssist Line', 2), ('Universe Note', 1)]",12220,74.84,-37.8079515,144.9459438,10,11072.84,Winter,True,0.5348,amazing value the lucent g series has been my go-to for several years now. the value is immense,True
ORD418859,ID1838361790,2019-10-27,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 2)]",20360,62.7,-37.8115146,144.96468159999995,0,20422.7,Spring,False,0.897,verify your carrier will activate!! cannot activate phone with sprint. phone boots up in spanish. tried for 3 days to get it activated but it was a waste of time.,False
ORD154743,ID1327098219,2019-06-21,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 1), ('pearTV', 1), ('Candle Inferno', 2)]",18345,76.06,-37.8139564,144.9636633,10,16586.56,Winter,True,0.7312,this phone is great for what i paid this phone is great for what i paid. just wish that i had known it was gonna be locked when i got it,True
